Laureate ID,Full Name,Gender,Birthdate/Date Founded,Country,Continent,Age/Years of Operation,Year Awarded,Date Awarded,Award Category,Awarded For
184,Heinrich Otto Wieland,Male,1877-06-04,Germany,Europe,50,1927,,Chemistry,for his investigations of the constitution of the bile acids and related substances
185,Adolf Otto Reinhold Windaus,Male,1876-12-25,Germany,Europe,52,1928,,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
186,Arthur Harden,Male,1865-10-12,United Kingdom,Europe,64,1929,,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
187,Hans Karl August Simon von Euler-Chelpin,Male,1873-02-15,Germany,Europe,56,1929,,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
188,Hans Fischer,Male,1881-07-27,Germany,Europe,49,1930,,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
189,Carl Bosch,Male,1874-08-27,Germany,Europe,57,1931,,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
190,Friedrich Bergius,Male,1884-10-11,Poland,Europe,47,1931,,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
191,Irving Langmuir,Male,1881-01-31,USA,North America,51,1932,,Chemistry,for his discoveries and investigations in surface chemistry
192,Harold Clayton Urey,Male,1893-04-29,USA,North America,41,1934,,Chemistry,for his discovery of heavy hydrogen
193,Frédéric Joliot,Male,1900-03-19,France,Europe,35,1935,,Chemistry,in recognition of their synthesis of new radioactive elements
194,Irène Joliot-Curie,Female,1897-09-12,France,Europe,38,1935,,Chemistry,in recognition of their synthesis of new radioactive elements
195,Petrus (Peter) Josephus Wilhelmus Debye,Male,1884-03-24,the Netherlands,Europe,52,1936,,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
196,Walter Norman Haworth,Male,1883-03-19,United Kingdom,Europe,54,1937,,Chemistry,for his investigations on carbohydrates and vitamin C
197,Paul Karrer,Male,1889-04-21,Russia,Europe,48,1937,,Chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2"
198,Richard Kuhn,Male,1900-12-03,Austria,Europe,38,1938,,Chemistry,for his work on carotenoids and vitamins
199,Adolf Friedrich Johann Butenandt,Male,1903-03-24,Germany,Europe,36,1939,,Chemistry,for his work on sex hormones
200,Leopold Ruzicka,Male,1887-09-13,Croatia,Europe,52,1939,,Chemistry,for his work on polymethylenes and higher terpenes
201,George de Hevesy,Male,1885-08-01,Hungary,Europe,58,1943,,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes
202,Otto Hahn,Male,1879-03-08,Germany,Europe,65,1944,,Chemistry,for his discovery of the fission of heavy nuclei
203,Artturi Ilmari Virtanen,Male,1895-01-15,Finland,Europe,50,1945,,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"
204,James Batcheller Sumner,Male,1887-11-19,USA,North America,59,1946,,Chemistry,for his discovery that enzymes can be crystallized
205,John Howard Northrop,Male,1891-07-05,USA,North America,55,1946,,Chemistry,for their preparation of enzymes and virus proteins in a pure form
206,Wendell Meredith Stanley,Male,1904-08-16,USA,North America,42,1946,,Chemistry,for their preparation of enzymes and virus proteins in a pure form
207,Sir Robert Robinson,Male,1886-09-13,United Kingdom,Europe,61,1947,,Chemistry,"for his investigations on plant products of biological importance, especially the alkaloids"
208,Arne Wilhelm Kaurin Tiselius,Male,1902-08-10,Sweden,Europe,46,1948,,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"
209,William Francis Giauque,Male,1895-05-12,Canada,North America,54,1949,,Chemistry,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"
210,Otto Paul Hermann Diels,Male,1876-01-23,Germany,Europe,74,1950,,Chemistry,for their discovery and development of the diene synthesis
211,Kurt Alder,Male,1902-07-10,Poland,Europe,48,1950,,Chemistry,for their discovery and development of the diene synthesis
212,Edwin Mattison McMillan,Male,1907-09-18,USA,North America,44,1951,,Chemistry,for their discoveries in the chemistry of the transuranium elements
213,Glenn Theodore Seaborg,Male,1912-04-19,USA,North America,39,1951,,Chemistry,for their discoveries in the chemistry of the transuranium elements
214,Archer John Porter Martin,Male,1910-03-01,United Kingdom,Europe,42,1952,,Chemistry,for their invention of partition chromatography
215,Richard Laurence Millington Synge,Male,1914-10-28,United Kingdom,Europe,38,1952,,Chemistry,for their invention of partition chromatography
216,Hermann Staudinger,Male,1881-03-23,Germany,Europe,72,1953,,Chemistry,for his discoveries in the field of macromolecular chemistry
217,Linus Carl Pauling,Male,1901-02-28,USA,North America,62,1962,1963-10-10,Peace,for his fight against the nuclear arms race between East and West
217,Linus Carl Pauling,Male,1901-02-28,USA,North America,53,1954,,Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
218,Vincent du Vigneaud,Male,1901-05-18,USA,North America,54,1955,1955-11-02,Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"
219,Sir Cyril Norman Hinshelwood,Male,1897-05-19,United Kingdom,Europe,59,1956,,Chemistry,for their researches into the mechanism of chemical reactions
220,Nikolay Nikolaevich Semenov,Male,1896-04-03,Russia,Europe,60,1956,,Chemistry,for their researches into the mechanism of chemical reactions
221,Lord (Alexander R.) Todd,Male,1907-10-02,Scotland,Europe,50,1957,,Chemistry,for his work on nucleotides and nucleotide co-enzymes
222,Frederick Sanger,Male,1918-08-13,United Kingdom,Europe,40,1958,,Chemistry,"for his work on the structure of proteins, especially that of insulin"
222,Frederick Sanger,Male,1918-08-13,United Kingdom,Europe,62,1980,1980-10-14,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids
223,Jaroslav Heyrovsky,Male,1890-12-20,Czech Republic,Europe,69,1959,,Chemistry,for his discovery and development of the polarographic methods of analysis
224,Willard Frank Libby,Male,1908-12-17,USA,North America,51,1960,1960-11-03,Chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"
225,Melvin Calvin,Male,1911-04-08,USA,North America,50,1961,,Chemistry,for his research on the carbon dioxide assimilation in plants
226,Max Ferdinand Perutz,Male,1914-05-19,Austria,Europe,48,1962,,Chemistry,for their studies of the structures of globular proteins
227,John Cowdery Kendrew,Male,1917-03-24,United Kingdom,Europe,45,1962,,Chemistry,for their studies of the structures of globular proteins
228,Karl Ziegler,Male,1898-11-26,Germany,Europe,65,1963,,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers
229,Giulio Natta,Male,1903-02-26,Italy,Europe,60,1963,,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers
230,Dorothy Crowfoot Hodgkin,Female,1910-05-12,Egypt,Africa,54,1964,,Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances
231,Robert Burns Woodward,Male,1917-04-10,USA,North America,48,1965,,Chemistry,for his outstanding achievements in the art of organic synthesis
232,Robert S. Mulliken,Male,1896-06-07,USA,North America,70,1966,,Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
233,Manfred Eigen,Male,1927-05-09,Germany,Europe,40,1967,,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
234,Ronald George Wreyford Norrish,Male,1897-11-09,United Kingdom,Europe,70,1967,,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
235,George Porter,Male,1920-12-06,United Kingdom,Europe,47,1967,,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
236,Lars Onsager,Male,1903-11-27,Norway,Europe,65,1968,,Chemistry,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"
237,Derek H. R. Barton,Male,1918-09-08,United Kingdom,Europe,51,1969,,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
238,Odd Hassel,Male,1897-05-17,Norway,Europe,72,1969,,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
239,Luis F. Leloir,Male,1906-09-06,France,Europe,64,1970,1970-10-27,Chemistry,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
240,Gerhard Herzberg,Male,1904-12-25,Germany,Europe,67,1971,,Chemistry,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
241,Christian B. Anfinsen,Male,1916-03-26,USA,North America,56,1972,,Chemistry,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"
242,Stanford Moore,Male,1913-09-04,USA,North America,59,1972,,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
243,William H. Stein,Male,1911-06-25,USA,North America,61,1972,,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
244,Ernst Otto Fischer,Male,1918-11-10,Germany,Europe,54,1973,1973-10-23,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
245,Geoffrey Wilkinson,Male,1921-07-14,United Kingdom,Europe,52,1973,1973-10-23,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
246,Paul J. Flory,Male,1910-06-19,USA,North America,64,1974,1974-10-15,Chemistry,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"
247,John Warcup Cornforth,Male,1917-09-07,Australia,Oceania,58,1975,1975-10-17,Chemistry,for his work on the stereochemistry of enzyme-catalyzed reactions
248,Vladimir Prelog,Male,1906-07-23,Bosnia and Herzegovina,Europe,69,1975,1975-10-17,Chemistry,for his research into the stereochemistry of organic molecules and reactions
249,William N. Lipscomb,Male,1919-12-09,USA,North America,56,1976,1976-10-18,Chemistry,for his studies on the structure of boranes illuminating problems of chemical bonding
250,Ilya Romanovich Prigogine,Male,1917-01-25,Russia,Europe,60,1977,1977-10-11,Chemistry,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"
251,Peter D. Mitchell,Male,1920-09-29,United Kingdom,Europe,58,1978,1978-10-17,Chemistry,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
252,Herbert C. Brown,Male,1912-05-22,United Kingdom,Europe,67,1979,1979-10-15,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
253,Georg Wittig,Male,1897-06-16,Germany,Europe,82,1979,1979-10-15,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
254,Paul Berg,Male,1926-06-30,USA,North America,54,1980,1980-10-14,Chemistry,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"
255,Walter Gilbert,Male,1932-03-21,USA,North America,48,1980,1980-10-14,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids
257,Kenichi Fukui,Male,1918-10-04,Japan,Asia,63,1981,1981-10-19,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
258,Roald Hoffmann,Male,1937-07-18,Ukraine,Europe,44,1981,1981-10-19,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
259,Aaron Klug,Male,1926-08-11,Lithuania,Europe,56,1982,1982-10-18,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
260,Henry Taube,Male,1915-11-30,Canada,North America,67,1983,1983-10-19,Chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes"
261,Robert Bruce Merrifield,Male,1921-07-15,USA,North America,63,1984,1984-10-17,Chemistry,for his development of methodology for chemical synthesis on a solid matrix
262,Herbert A. Hauptman,Male,1917-02-14,USA,North America,68,1985,1985-10-15,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
263,Jerome Karle,Male,1918-06-18,USA,North America,67,1985,1985-10-15,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
264,Dudley R. Herschbach,Male,1932-06-18,USA,North America,54,1986,1986-10-15,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
265,Yuan T. Lee,Male,1936-11-19,Taiwan,Asia,49,1986,1986-10-15,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
266,John C. Polanyi,Male,1929-01-23,Germany,Europe,57,1986,1986-10-15,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
267,Donald J. Cram,Male,1919-04-22,USA,North America,68,1987,1987-10-14,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
268,Jean-Marie Lehn,Male,1939-09-30,France,Europe,48,1987,1987-10-14,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
269,Charles J. Pedersen,Male,1904-10-03,South Korea,Asia,83,1987,1987-10-14,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
270,Johann Deisenhofer,Male,1943-09-30,Germany,Europe,45,1988,1988-10-19,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
271,Robert Huber,Male,1937-02-20,Germany,Europe,51,1988,1988-10-19,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
272,Hartmut Michel,Male,1948-07-18,Germany,Europe,40,1988,1988-10-19,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
273,Sidney Altman,Male,1939-05-07,Canada,North America,50,1989,1989-10-12,Chemistry,for their discovery of catalytic properties of RNA
274,Thomas R. Cech,Male,1947-12-08,USA,North America,41,1989,1989-10-12,Chemistry,for their discovery of catalytic properties of RNA
275,Elias James Corey,Male,1928-07-12,USA,North America,62,1990,1990-10-17,Chemistry,for his development of the theory and methodology of organic synthesis
276,Richard R. Ernst,Male,1933-08-14,Switzerland,Europe,58,1991,,Chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
277,Rudolph A. Marcus,Male,1923-07-21,Canada,North America,69,1992,1992-10-12,Chemistry,for his contributions to the theory of electron transfer reactions in chemical systems
278,Kary B. Mullis,Male,1944-12-28,USA,North America,48,1993,1993-10-13,Chemistry,for his invention of the polymerase chain reaction (PCR) method
279,Michael Smith,Male,1932-04-26,United Kingdom,Europe,61,1993,1993-10-13,Chemistry,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
280,George A. Olah,Male,1927-05-22,Hungary,Europe,67,1994,1994-10-12,Chemistry,for his contribution to carbocation chemistry
281,Paul J. Crutzen,Male,1933-12-03,the Netherlands,Europe,61,1995,1995-10-11,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
282,Mario J. Molina,Male,1943-03-19,Mexico,North America,52,1995,1995-10-11,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
283,F. Sherwood Rowland,Male,1927-06-28,USA,North America,68,1995,1995-10-11,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
284,Robert F. Curl Jr.,Male,1933-08-23,USA,North America,63,1996,1996-10-09,Chemistry,for their discovery of fullerenes
285,Sir Harold W. Kroto,Male,1939-10-07,United Kingdom,Europe,57,1996,1996-10-09,Chemistry,for their discovery of fullerenes
286,Richard E. Smalley,Male,1943-06-06,USA,North America,53,1996,1996-10-09,Chemistry,for their discovery of fullerenes
287,Paul D. Boyer,Male,1918-07-31,USA,North America,79,1997,1997-10-15,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
288,John E. Walker,Male,1941-01-07,United Kingdom,Europe,56,1997,1997-10-15,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
289,Jens C. Skou,Male,1918-10-08,Denmark,Europe,79,1997,1997-10-15,Chemistry,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
290,Walter Kohn,Male,1923-03-09,Austria,Europe,75,1998,1998-10-13,Chemistry,for his development of the density-functional theory
291,John A. Pople,Male,1925-10-31,United Kingdom,Europe,72,1998,1998-10-13,Chemistry,for his development of computational methods in quantum chemistry
292,Ahmed H. Zewail,Male,1946-02-26,Egypt,Africa,53,1999,1999-10-12,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy
293,Emil Adolf von Behring,Male,1854-03-15,Poland,Europe,47,1901,,Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
294,Ronald Ross,Male,1857-05-13,India,Asia,45,1902,,Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
295,Niels Ryberg Finsen,Male,1860-12-15,Faroe Islands (Denmark),Europe,43,1903,,Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
296,Ivan Petrovich Pavlov,Male,1849-09-14,Russia,Europe,55,1904,,Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
297,Robert Koch,Male,1843-12-11,Germany,Europe,62,1905,,Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis
298,Camillo Golgi,Male,1843-07-07,Italy,Europe,63,1906,,Physiology or Medicine,in recognition of their work on the structure of the nervous system
299,Santiago Ramón y Cajal,Male,1852-05-01,Spain,Europe,54,1906,,Physiology or Medicine,in recognition of their work on the structure of the nervous system
300,Charles Louis Alphonse Laveran,Male,1845-06-18,France,Europe,62,1907,,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases
301,Ilya Ilyich Mechnikov,Male,1845-05-15,Ukraine,Europe,63,1908,,Physiology or Medicine,in recognition of their work on immunity
302,Paul Ehrlich,Male,1854-03-14,Poland,Europe,54,1908,,Physiology or Medicine,in recognition of their work on immunity
303,Emil Theodor Kocher,Male,1841-08-25,Switzerland,Europe,68,1909,,Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland"
304,Albrecht Kossel,Male,1853-09-16,Germany,Europe,57,1910,,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
305,Allvar Gullstrand,Male,1862-06-05,Sweden,Europe,49,1911,,Physiology or Medicine,for his work on the dioptrics of the eye
306,Alexis Carrel,Male,1873-06-28,France,Europe,39,1912,,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
307,Charles Robert Richet,Male,1850-08-26,France,Europe,63,1913,,Physiology or Medicine,in recognition of his work on anaphylaxis
308,Robert Bárány,Male,1876-04-22,Austria,Europe,39,1914,1915-10-29,Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus
309,Jules Bordet,Male,1870-06-13,Belgium,Europe,49,1919,,Physiology or Medicine,for his discoveries relating to immunity
310,Schack August Steenberg Krogh,Male,1874-11-15,Denmark,Europe,46,1920,,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism
311,Archibald Vivian Hill,Male,1886-09-26,United Kingdom,Europe,36,1922,,Physiology or Medicine,for his discovery relating to the production of heat in the muscle
312,Otto Fritz Meyerhof,Male,1884-04-12,Germany,Europe,38,1922,,Physiology or Medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
313,Frederick Grant Banting,Male,1891-11-14,Canada,North America,32,1923,,Physiology or Medicine,for the discovery of insulin
314,John James Rickard Macleod,Male,1876-09-06,Scotland,Europe,47,1923,,Physiology or Medicine,for the discovery of insulin
315,Willem Einthoven,Male,1860-05-21,Indonesia,Asia,64,1924,,Physiology or Medicine,for his discovery of the mechanism of the electrocardiogram
316,Johannes Andreas Grib Fibiger,Male,1867-04-23,Denmark,Europe,59,1926,,Physiology or Medicine,for his discovery of the Spiroptera carcinoma
317,Julius Wagner-Jauregg,Male,1857-03-07,Austria,Europe,70,1927,,Physiology or Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
318,Charles Jules Henri Nicolle,Male,1866-09-21,France,Europe,62,1928,,Physiology or Medicine,for his work on typhus
319,Christiaan Eijkman,Male,1858-08-11,the Netherlands,Europe,71,1929,,Physiology or Medicine,for his discovery of the antineuritic vitamin
320,Sir Frederick Gowland Hopkins,Male,1861-06-20,United Kingdom,Europe,68,1929,,Physiology or Medicine,for his discovery of the growth-stimulating vitamins
321,Karl Landsteiner,Male,1868-06-14,Austria,Europe,62,1930,,Physiology or Medicine,for his discovery of human blood groups
322,Otto Heinrich Warburg,Male,1883-10-08,Germany,Europe,48,1931,,Physiology or Medicine,for his discovery of the nature and mode of action of the respiratory enzyme
323,Sir Charles Scott Sherrington,Male,1857-11-27,United Kingdom,Europe,75,1932,,Physiology or Medicine,for their discoveries regarding the functions of neurons
324,Edgar Douglas Adrian,Male,1889-11-30,United Kingdom,Europe,43,1932,,Physiology or Medicine,for their discoveries regarding the functions of neurons
325,Thomas Hunt Morgan,Male,1866-09-25,USA,North America,67,1933,,Physiology or Medicine,for his discoveries concerning the role played by the chromosome in heredity
326,George Hoyt Whipple,Male,1878-08-28,USA,North America,56,1934,,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
327,George Richards Minot,Male,1885-12-02,USA,North America,49,1934,,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
328,William Parry Murphy,Male,1892-02-06,USA,North America,42,1934,,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
329,Hans Spemann,Male,1869-06-27,Germany,Europe,66,1935,,Physiology or Medicine,for his discovery of the organizer effect in embryonic development
330,Sir Henry Hallett Dale,Male,1875-06-09,United Kingdom,Europe,61,1936,,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
331,Otto Loewi,Male,1873-06-03,Germany,Europe,63,1936,,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
332,Albert von Szent-Györgyi Nagyrápolt,Male,1893-09-16,Hungary,Europe,44,1937,,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
333,Corneille Jean François Heymans,Male,1892-03-28,Belgium,Europe,46,1938,,Physiology or Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
334,Gerhard Domagk,Male,1895-10-30,Poland,Europe,44,1939,,Physiology or Medicine,for the discovery of the antibacterial effects of prontosil
335,Henrik Carl Peter Dam,Male,1895-02-21,Denmark,Europe,48,1943,,Physiology or Medicine,for his discovery of vitamin K
336,Edward Adelbert Doisy,Male,1893-11-13,USA,North America,50,1943,,Physiology or Medicine,for his discovery of the chemical nature of vitamin K
337,Joseph Erlanger,Male,1874-01-05,USA,North America,70,1944,,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
338,Herbert Spencer Gasser,Male,1888-07-05,USA,North America,56,1944,,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
339,Sir Alexander Fleming,Male,1881-08-06,Scotland,Europe,64,1945,,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
340,Ernst Boris Chain,Male,1906-06-19,Germany,Europe,39,1945,,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
341,Sir Howard Walter Florey,Male,1898-09-24,Australia,Oceania,47,1945,,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
342,Hermann Joseph Muller,Male,1890-12-21,USA,North America,56,1946,,Physiology or Medicine,for the discovery of the production of mutations by means of X-ray irradiation
343,Carl Ferdinand Cori,Male,1896-12-05,Czech Republic,Europe,51,1947,,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
344,"Gerty Theresa Cori, née Radnitz",Female,1896-08-15,Czech Republic,Europe,51,1947,,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
345,Bernardo Alberto Houssay,Male,1887-04-10,Argentina,South America,60,1947,,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
346,Paul Hermann Müller,Male,1899-01-12,Switzerland,Europe,49,1948,,Physiology or Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods
347,Walter Rudolf Hess,Male,1881-03-17,Switzerland,Europe,68,1949,,Physiology or Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
348,Antonio Caetano de Abreu Freire Egas Moniz,Male,1874-11-29,Portugal,Europe,75,1949,,Physiology or Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses
349,Edward Calvin Kendall,Male,1886-03-08,USA,North America,64,1950,,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
350,Tadeus Reichstein,Male,1897-07-20,Poland,Europe,53,1950,,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
351,Philip Showalter Hench,Male,1896-02-28,USA,North America,54,1950,,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
352,Max Theiler,Male,1899-01-30,South Africa,Africa,52,1951,,Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it
353,Selman Abraham Waksman,Male,1888-07-22,Ukraine,Europe,64,1952,,Physiology or Medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis"
354,Hans Adolf Krebs,Male,1900-08-25,Germany,Europe,53,1953,,Physiology or Medicine,for his discovery of the citric acid cycle
355,Fritz Albert Lipmann,Male,1899-06-12,Russia,Europe,54,1953,,Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism
356,John Franklin Enders,Male,1897-02-10,USA,North America,57,1954,,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
357,Thomas Huckle Weller,Male,1915-06-15,USA,North America,39,1954,,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
358,Frederick Chapman Robbins,Male,1916-08-25,USA,North America,38,1954,,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
359,Axel Hugo Theodor Theorell,Male,1903-07-06,Sweden,Europe,52,1955,1955-10-20,Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes
360,André Frédéric Cournand,Male,1895-09-24,France,Europe,61,1956,,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
361,Werner Forssmann,Male,1904-08-29,Germany,Europe,52,1956,,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
362,Dickinson W. Richards,Male,1895-10-30,USA,North America,61,1956,,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
363,Daniel Bovet,Male,1907-03-23,Switzerland,Europe,50,1957,,Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"
364,George Wells Beadle,Male,1903-10-22,USA,North America,55,1958,,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events
365,Edward Lawrie Tatum,Male,1909-12-14,USA,North America,49,1958,,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events
366,Joshua Lederberg,Male,1925-05-23,USA,North America,33,1958,,Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
367,Severo Ochoa,Male,1905-09-24,Spain,Europe,54,1959,,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
368,Arthur Kornberg,Male,1918-03-03,USA,North America,41,1959,,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
369,Sir Frank Macfarlane Burnet,Male,1899-09-03,Australia,Oceania,61,1960,1960-10-20,Physiology or Medicine,for discovery of acquired immunological tolerance
370,Peter Brian Medawar,Male,1915-02-28,Brazil,South America,45,1960,1960-10-20,Physiology or Medicine,for discovery of acquired immunological tolerance
371,Georg von Békésy,Male,1899-06-03,Hungary,Europe,62,1961,,Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea
